ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000184613","NELL2","2.55","3.81","9.01","3.03e-18","5.31e-18"
"ENSG00000185873","TMPRSS11B","-3.54","1.43","-13.07","2.7e-34","3.73e-33"
"ENSG00000186474","KLK12","-2.18","3.81","-5.77","1.34e-08","7.28e-09"
"ENSG00000186832","KRT16","2.00","11.24","5.14","3.8e-07","1.72e-07"
"ENSG00000187054","TMPRSS11A","-2.04","2.77","-5.93","5.22e-09","2.99e-09"
"ENSG00000187498","COL4A1","2.98","5.77","15.10","1.65e-43","7.42e-42"
"ENSG00000187608","ISG15","3.61","8.02","13.59","1.33e-36","2.53e-35"
"ENSG00000187775","DNAH17","2.10","2.56","9.06","2.18e-18","3.88e-18"
"ENSG00000187908","DMBT1","-2.26","1.17","-7.18","2.19e-12","1.88e-12"
"ENSG00000188153","COL4A5","2.09","3.81","12.07","5.4e-30","4.31e-29"
"ENSG00000188157","AGRN","2.02","6.29","14.54","6.24e-41","2.07e-39"
"ENSG00000188257","PLA2G2A","-3.45","2.30","-11.01","1.11e-25","5.05e-25"
"ENSG00000189058","APOD","-2.45","3.59","-8.93","6.13e-18","1.03e-17"
"ENSG00000189377","CXCL17","-2.33","4.32","-6.84","2.03e-11","1.56e-11"
"ENSG00000196091","MYBPC1","-2.90","2.04","-7.35","6.98e-13","6.33e-13"
"ENSG00000196296","ATP2A1","-2.47","1.59","-8.77","2.03e-17","3.2e-17"
"ENSG00000196611","MMP1","4.98","6.87","13.31","2.4e-35","3.79e-34"
"ENSG00000196616","ADH1B","-2.55","0.59","-18.97","1.78e-62","1.63e-59"
"ENSG00000196878","LAMB3","2.13","7.83","10.76","1.06e-24","4.16e-24"
"ENSG00000197172","MAGEA6","2.03","2.01","5.02","6.95e-07","3.04e-07"
"ENSG00000197353","LYPD2","-2.06","3.41","-5.31","1.57e-07","7.48e-08"
"ENSG00000197870","PRB3","-2.73","0.78","-10.86","4.29e-25","1.76e-24"
"ENSG00000197893","NRAP","-2.38","1.41","-7.13","3.07e-12","2.59e-12"
"ENSG00000198125","MB","-3.32","3.55","-7.61","1.17e-13","1.16e-13"
"ENSG00000198478","SH3BGRL2","-2.91","1.96","-16.82","8.71e-52","1.2e-49"
"ENSG00000198643","FAM3D","-4.51","2.99","-14.51","8.71e-41","2.82e-39"
"ENSG00000204262","COL5A2","3.05","5.02","12.15","2.35e-30","1.98e-29"
"ENSG00000204544","MUC21","-5.08","1.86","-14.23","1.69e-39","4.7e-38"
"ENSG00000205649","HTN3","-2.00","0.26","-10.75","1.15e-24","4.48e-24"
"ENSG00000211445","GPX3","-2.41","5.33","-10.16","2.24e-22","6.44e-22"
"ENSG00000213088","ACKR1","-2.11","2.71","-8.94","5.49e-18","9.31e-18"
"ENSG00000214711","CAPN14","-2.58","1.39","-10.91","2.75e-25","1.16e-24"
"ENSG00000221867","MAGEA3","2.03","2.07","4.98","8.3e-07","3.6e-07"
"ENSG00000231887","PRH1","-2.85","1.32","-11.17","2.52e-26","1.26e-25"
"ENSG00000239474","KLHL41","-2.49","2.06","-6.25","8.3e-10","5.25e-10"
"ENSG00000240045","STRIT1","-2.06","0.65","-10.42","2.28e-23","7.52e-23"
"ENSG00000256980","KHDC1L","2.28","2.69","8.00","7.1e-15","8.08e-15"
"ENSG00000258947","TUBB3","2.35","5.36","10.87","3.98e-25","1.64e-24"
"ENSG00000260027","HOXB7","2.34","2.82","10.53","8.27e-24","2.87e-23"
"ENSG00000262406","MMP12","3.28","4.43","12.67","1.54e-32","1.7e-31"
"ENSG00000263155","MYZAP","-2.24","1.57","-15.82","6e-47","4.12e-45"
"ENSG00000266964","FXYD1","-2.37","2.34","-9.65","1.63e-20","3.75e-20"
"ENSG00000268916","CSAG3","2.07","2.18","6.79","2.81e-11","2.12e-11"
"ENSG00000276409","CCL14","-2.75","2.48","-11.66","2.58e-28","1.71e-27"
