ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000117595","IRF6","2.57","3.45","27.81","8.44e-105","1.1e-104"
"ENSG00000117602","RCAN3","2.20","2.44","26.57","9.86e-99","1.11e-98"
"ENSG00000117643","MAN1C1","-2.26","2.87","-23.09","1.32e-81","9.73e-82"
"ENSG00000117650","NEK2","3.35","2.94","33.61","3.38e-132","8.56e-132"
"ENSG00000117676","RPS6KA1","2.22","3.57","27.51","2.44e-103","3.07e-103"
"ENSG00000117724","CENPF","3.35","4.02","28.25","6.47e-107","8.88e-107"
"ENSG00000117791","MTARC2","-3.11","2.52","-34.65","5.92e-137","1.7e-136"
"ENSG00000118004","COLEC11","-3.33","2.53","-16.75","1.22e-50","4.28e-51"
"ENSG00000118231","CRYGD","-2.11","0.81","-15.29","7.89e-44","2.36e-44"
"ENSG00000118495","PLAGL1","-2.83","3.02","-19.54","4.11e-64","1.99e-64"
"ENSG00000118503","TNFAIP3","-2.57","3.79","-21.22","2.23e-72","1.3e-72"
"ENSG00000118513","MYB","2.02","1.84","18.20","1.5e-57","6.26e-58"
"ENSG00000118515","SGK1","-2.92","5.20","-23.55","6.92e-84","5.48e-84"
"ENSG00000118526","TCF21","-3.99","1.69","-37.50","1.17e-149","4.64e-149"
"ENSG00000118640","VAMP8","4.10","6.79","47.99","1.18e-192","1.37e-191"
"ENSG00000118762","PKD2","-2.69","2.81","-33.23","1.88e-130","4.59e-130"
"ENSG00000118785","SPP1","5.33","6.98","29.94","5.34e-115","8.98e-115"
"ENSG00000118985","ELL2","-2.55","2.10","-24.37","6.23e-88","5.47e-88"
"ENSG00000119138","KLF9","-3.18","2.90","-32.10","3.31e-125","7.05e-125"
"ENSG00000119326","CTNNAL1","-2.81","4.35","-30.36","5.12e-117","9.03e-117"
"ENSG00000119411","BSPRY","2.86","2.55","30.42","2.78e-117","4.94e-117"
"ENSG00000119508","NR4A3","-3.38","1.39","-25.57","7.77e-94","7.63e-94"
"ENSG00000119514","GALNT12","2.28","2.53","23.30","1.23e-82","9.36e-83"
"ENSG00000119638","NEK9","-2.34","4.29","-23.66","2.02e-84","1.62e-84"
"ENSG00000119698","PPP4R4","-2.23","0.74","-42.84","2.88e-172","2e-171"
"ENSG00000119865","CNRIP1","-3.45","2.55","-38.58","2.35e-154","1.05e-153"
"ENSG00000119866","BCL11A","3.47","3.49","24.27","1.83e-87","1.59e-87"
"ENSG00000119888","EPCAM","6.89","6.68","62.73","5.67e-244","2.35e-242"
"ENSG00000119906","SLF2","-2.22","2.92","-32.00","9.33e-125","1.97e-124"
"ENSG00000119986","AVPI1","-2.41","3.66","-25.88","2.34e-95","2.38e-95"
"ENSG00000120049","KCNIP2","-2.53","1.57","-34.75","2.16e-137","6.29e-137"
"ENSG00000120068","HOXB8","2.29","2.06","10.40","4.09e-23","7.14e-24"
"ENSG00000120093","HOXB3","2.21","3.00","13.75","6.96e-37","1.75e-37"
"ENSG00000120129","DUSP1","-2.56","6.48","-15.53","6.39e-45","1.96e-45"
"ENSG00000120658","ENOX1","-2.34","1.09","-38.06","4.4e-152","1.85e-151"
"ENSG00000120693","SMAD9","-2.05","1.15","-32.84","1.24e-128","2.88e-128"
"ENSG00000120756","PLS1","2.47","2.50","26.48","2.56e-98","2.87e-98"
"ENSG00000120820","GLT8D2","-2.63","3.00","-20.58","3.32e-69","1.82e-69"
"ENSG00000120833","SOCS2","-2.43","2.00","-25.96","8.95e-96","9.22e-96"
"ENSG00000121152","NCAPH","2.77","2.71","28.30","3.76e-107","5.18e-107"
"ENSG00000121211","MND1","2.33","2.37","26.85","4.15e-100","4.83e-100"
"ENSG00000121297","TSHZ3","-3.58","1.98","-40.68","2.71e-163","1.52e-162"
"ENSG00000121310","ECHDC2","-3.67","5.88","-38.15","1.72e-152","7.34e-152"
"ENSG00000121361","KCNJ8","-2.20","2.19","-22.80","3.79e-80","2.69e-80"
"ENSG00000121440","PDZRN3","-3.33","3.16","-28.68","5.3e-109","7.74e-109"
"ENSG00000121671","CRY2","-2.64","3.28","-33.28","1.08e-130","2.66e-130"
"ENSG00000121716","PILRB","-2.20","4.18","-17.80","1.16e-55","4.57e-56"
"ENSG00000121966","CXCR4","3.08","5.48","23.00","3.69e-81","2.69e-81"
"ENSG00000122133","PAEP","2.39","2.24","10.16","3.05e-22","5.21e-23"
"ENSG00000122136","OBP2A","2.82","2.50","11.10","8.17e-26","1.53e-26"
"ENSG00000122176","FMOD","-2.01","5.28","-14.08","2.38e-38","6.18e-39"
"ENSG00000122574","WIPF3","-4.04","2.29","-40.28","1.31e-161","7.07e-161"
"ENSG00000122786","CALD1","-2.64","6.01","-21.97","4.61e-76","2.93e-76"
"ENSG00000122824","NUDT10","-2.95","1.40","-32.34","2.46e-126","5.38e-126"
"ENSG00000122861","PLAU","3.02","3.76","17.78","1.55e-55","6.1e-56"
"ENSG00000122863","CHST3","-2.44","2.31","-24.58","5.96e-89","5.31e-89"
"ENSG00000122870","BICC1","-2.19","1.74","-22.90","1.18e-80","8.54e-81"
"ENSG00000122952","ZWINT","3.03","3.93","32.47","6.18e-127","1.37e-126"
"ENSG00000123095","BHLHE41","3.38","5.60","20.92","6.98e-71","3.93e-71"
"ENSG00000123342","MMP19","-2.30","2.80","-18.44","1.02e-58","4.38e-59"
"ENSG00000123358","NR4A1","-5.27","5.60","-29.88","1e-114","1.67e-114"
"ENSG00000123360","PDE1B","-2.95","2.01","-32.64","9.91e-128","2.24e-127"
"ENSG00000123384","LRP1","-3.04","5.35","-26.85","4.07e-100","4.74e-100"
"ENSG00000123485","HJURP","3.05","2.90","30.43","2.35e-117","4.19e-117"
"ENSG00000123500","COL10A1","2.03","2.47","9.86","3.92e-21","6.47e-22"
"ENSG00000123570","RAB9B","-2.31","0.80","-47.94","1.79e-192","2.04e-191"
"ENSG00000123572","NRK","-3.93","1.20","-54.43","2.81e-216","5.74e-215"
"ENSG00000123689","G0S2","-2.16","3.39","-17.96","1.98e-56","8.02e-57"
"ENSG00000123843","C4BPB","-5.11","1.17","-52.92","6.49e-211","1.2e-209"
"ENSG00000123975","CKS2","3.98","6.28","37.66","2.39e-150","9.73e-150"
"ENSG00000123999","INHA","-4.80","2.33","-40.04","1.33e-160","6.99e-160"
"ENSG00000124006","OBSL1","-3.08","6.40","-27.03","5.18e-101","6.14e-101"
"ENSG00000124067","SLC12A4","-2.08","3.75","-24.48","1.86e-88","1.64e-88"
"ENSG00000124092","CTCFL","2.51","2.11","12.61","5.83e-32","1.29e-32"
"ENSG00000124102","PI3","4.45","4.30","18.03","9.09e-57","3.7e-57"
"ENSG00000124104","SNX21","-2.38","3.78","-29.61","1.99e-113","3.2e-113"
"ENSG00000124107","SLPI","7.92","8.88","40.92","2.58e-164","1.48e-163"
"ENSG00000124140","SLC12A5","2.86","3.83","19.32","4.92e-63","2.33e-63"
"ENSG00000124171","PARD6B","2.04","2.55","28.58","1.59e-108","2.28e-108"
"ENSG00000124181","PLCG1","-2.64","4.74","-21.76","4.99e-75","3.11e-75"
"ENSG00000124208","PEDS1-UBE2V1","2.53","2.86","23.65","2.25e-84","1.8e-84"
"ENSG00000124212","PTGIS","-2.62","2.94","-16.73","1.52e-50","5.33e-51"
"ENSG00000124222","STX16","-2.01","4.50","-22.58","4.64e-79","3.2e-79"
"ENSG00000124249","KCNK15","3.56","4.55","25.47","2.25e-93","2.19e-93"
