ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000134057","CCNB1","2.13","3.40","13.98","9.26e-32","3.99e-31"
"ENSG00000134339","SAA2","-2.74","2.02","-13.38","7.16e-30","2.52e-29"
"ENSG00000134463","ECHDC3","-2.37","3.65","-11.83","4.76e-25","1.04e-24"
"ENSG00000134853","PDGFRA","-2.75","3.01","-20.03","1.84e-50","6.69e-49"
"ENSG00000134884","ARGLU1","-2.27","5.69","-21.16","8.38e-54","4.43e-52"
"ENSG00000134955","SLC37A2","-3.66","4.53","-21.30","3.31e-54","1.83e-52"
"ENSG00000135914","HTR2B","-2.01","2.74","-10.60","2.85e-21","4.31e-21"
"ENSG00000136383","ALPK3","-2.07","2.19","-17.49","9.55e-43","1.32e-41"
"ENSG00000136457","CHAD","-2.33","2.39","-17.89","5.71e-44","8.73e-43"
"ENSG00000136999","CCN3","-2.96","7.17","-9.36","1.32e-17","1.39e-17"
"ENSG00000137077","CCL21","-2.58","3.07","-10.42","9.69e-21","1.38e-20"
"ENSG00000137331","IER3","-2.21","4.33","-11.32","1.82e-23","3.39e-23"
"ENSG00000137392","CLPS","-2.16","1.35","-15.02","5.06e-35","2.99e-34"
"ENSG00000137474","MYO7A","-2.68","4.39","-22.16","1.12e-56","9.69e-55"
"ENSG00000137491","SLCO2B1","-2.70","4.01","-18.60","3.81e-46","7.48e-45"
"ENSG00000137563","GGH","2.05","3.42","16.35","3.34e-39","3.01e-38"
"ENSG00000137801","THBS1","-3.25","4.16","-18.56","5.12e-46","9.82e-45"
"ENSG00000137857","DUOX1","-3.38","2.63","-27.07","3.87e-70","6.07e-67"
"ENSG00000137960","GIPC2","-2.21","2.90","-14.34","6.67e-33","3.21e-32"
"ENSG00000138080","EMILIN1","-2.26","4.47","-13.41","5.73e-30","2.04e-29"
"ENSG00000138100","TRIM54","-2.59","2.23","-16.17","1.22e-38","1.03e-37"
"ENSG00000138356","AOX1","-2.60","6.88","-14.14","2.95e-32","1.31e-31"
"ENSG00000138449","SLC40A1","-2.73","6.52","-10.48","6.44e-21","9.4e-21"
"ENSG00000139329","LUM","-3.90","6.36","-15.09","2.9e-35","1.76e-34"
"ENSG00000140092","FBLN5","-2.27","4.66","-14.02","6.7e-32","2.92e-31"
"ENSG00000140254","DUOXA1","-2.04","1.46","-22.04","2.48e-56","2.01e-54"
"ENSG00000140398","NEIL1","-2.71","4.59","-24.61","1.46e-63","3.23e-61"
"ENSG00000141338","ABCA8","-2.25","4.51","-12.65","1.43e-27","3.95e-27"
"ENSG00000141744","PNMT","-2.91","2.02","-8.05","6.11e-14","4.53e-14"
