ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000153993","SEMA3D","-2.43","2.28","-24.66","9.16e-102","4.83e-102"
"ENSG00000154099","DNAAF1","-2.19","2.01","-36.92","5.73e-179","2.4e-178"
"ENSG00000154134","ROBO3","-2.76","3.08","-43.47","1.93e-218","3.91e-217"
"ENSG00000154175","ABI3BP","-2.32","4.26","-26.36","1.87e-112","1.22e-112"
"ENSG00000154258","ABCA9","-3.01","1.52","-55.08","5.71e-283","3.24e-280"
"ENSG00000154262","ABCA6","-2.95","1.99","-47.96","2.86e-244","2.17e-242"
"ENSG00000154263","ABCA10","-2.91","1.76","-45.49","3.74e-230","1.28e-228"
"ENSG00000154553","PDLIM3","-2.55","4.02","-34.45","1.27e-163","3.13e-163"
"ENSG00000154734","ADAMTS1","-2.11","4.29","-26.65","2.88e-114","1.93e-114"
"ENSG00000155849","ELMO1","-2.05","4.88","-25.00","7.32e-104","4.02e-104"
"ENSG00000155926","SLA","-2.15","3.92","-26.95","3.76e-116","2.62e-116"
"ENSG00000156414","TDRD9","-2.83","3.44","-28.99","4.4e-129","4.04e-129"
"ENSG00000157150","TIMP4","-3.18","1.80","-38.91","3.66e-191","2.47e-190"
"ENSG00000157502","PWWP3B","-2.00","2.19","-26.07","1.29e-110","8.09e-111"
"ENSG00000157765","SLC34A2","3.68","6.48","19.86","1.87e-72","5.72e-73"
"ENSG00000158286","RNF207","-2.13","3.36","-32.52","1.82e-151","3.04e-151"
"ENSG00000158815","FGF17","-2.32","1.47","-39.15","1.34e-192","9.73e-192"
"ENSG00000158859","ADAMTS4","-2.33","2.33","-24.46","1.59e-100","8.17e-101"
"ENSG00000159166","LAD1","2.24","3.51","35.46","7.13e-170","2.21e-169"
"ENSG00000159403","C1R","-2.93","5.92","-30.79","1.55e-140","1.88e-140"
"ENSG00000160013","PTGIR","-2.47","2.25","-38.58","3.84e-189","2.32e-188"
"ENSG00000160180","TFF3","-5.53","7.13","-31.83","4.16e-147","6.01e-147"
"ENSG00000160678","S100A1","2.53","8.75","34.74","2.12e-165","5.64e-165"
"ENSG00000161509","GRIN2C","-2.65","2.83","-28.46","9.41e-126","7.97e-126"
"ENSG00000161714","PLCD3","2.19","5.05","24.90","2.73e-103","1.49e-103"
"ENSG00000162366","PDZK1IP1","3.72","3.67","27.16","1.6e-117","1.14e-117"
"ENSG00000162545","CAMK2N1","2.09","4.85","21.28","6.56e-81","2.35e-81"
"ENSG00000162595","DIRAS3","2.06","3.24","25.89","1.86e-109","1.14e-109"
"ENSG00000162804","SNED1","-2.21","3.81","-37.71","7.82e-184","3.84e-183"
"ENSG00000162873","KLHDC8A","3.15","2.68","37.91","4.95e-185","2.55e-184"
"ENSG00000162878","PKDCC","-2.97","2.98","-42.54","6.09e-213","1.03e-211"
"ENSG00000163131","CTSS","2.06","5.36","26.45","5.4e-113","3.55e-113"
"ENSG00000163235","TGFA","2.30","3.60","35.82","3.69e-172","1.23e-171"
"ENSG00000163347","CLDN1","3.73","5.15","33.45","2.36e-157","4.72e-157"
"ENSG00000163395","IGFN1","-3.34","3.73","-24.08","4.15e-98","2.04e-98"
"ENSG00000163431","LMOD1","-2.50","3.80","-35.24","1.47e-168","4.32e-168"
"ENSG00000163482","STK36","-2.02","4.59","-34.64","9.32e-165","2.42e-164"
"ENSG00000163485","ADORA1","2.08","3.13","33.35","1.01e-156","1.99e-156"
"ENSG00000163520","FBLN2","-2.34","4.26","-31.16","7.5e-143","9.72e-143"
"ENSG00000163710","PCOLCE2","-2.40","2.07","-32.89","8.62e-154","1.55e-153"
"ENSG00000163898","LIPH","3.60","2.48","42.21","5.76e-211","8.71e-210"
"ENSG00000163945","UVSSA","-2.09","2.71","-37.51","1.46e-182","6.95e-182"
"ENSG00000164199","ADGRV1","-2.71","2.04","-37.94","3.39e-185","1.77e-184"
"ENSG00000164530","PI16","-2.76","2.59","-27.54","6.18e-120","4.66e-120"
"ENSG00000164935","DCSTAMP","4.79","3.27","26.15","4.04e-111","2.55e-111"
"ENSG00000165061","ZMAT4","-2.14","2.07","-23.61","3.44e-95","1.6e-95"
"ENSG00000165124","SVEP1","-2.27","1.42","-45.60","7.96e-231","3.01e-229"
"ENSG00000165810","BTNL9","-2.88","3.48","-31.83","4.33e-147","6.24e-147"
"ENSG00000165959","CLMN","-2.11","2.27","-48.77","8.26e-249","8.51e-247"
"ENSG00000166183","ASPG","-2.49","1.47","-39.87","5.98e-197","5.22e-196"
"ENSG00000166426","CRABP1","-2.70","5.43","-18.31","1.99e-63","5.31e-64"
"ENSG00000166482","MFAP4","-3.64","4.23","-35.30","6.28e-169","1.87e-168"
"ENSG00000166589","CDH16","-3.43","3.14","-31.88","2.04e-147","2.97e-147"
"ENSG00000166741","NNMT","-2.65","5.47","-24.82","8.67e-103","4.67e-103"
"ENSG00000166920","C15orf48","2.01","3.06","22.01","2.26e-85","8.66e-86"
"ENSG00000166922","SCG5","2.28","4.30","24.69","5.78e-102","3.07e-102"
"ENSG00000166987","MBD6","-2.02","5.91","-33.78","2.09e-159","4.43e-159"
"ENSG00000167280","ENGASE","-2.32","3.98","-39.38","5.48e-194","4.17e-193"
"ENSG00000167302","TEPSIN","-2.05","4.29","-37.17","1.67e-180","7.5e-180"
"ENSG00000167434","CA4","-3.26","3.96","-27.72","4.81e-121","3.7e-121"
"ENSG00000167549","CORO6","-3.09","5.27","-25.62","8.28e-108","4.91e-108"
"ENSG00000167615","LENG8","-2.43","6.52","-32.80","2.93e-153","5.15e-153"
"ENSG00000167644","C19orf33","2.19","5.52","19.48","3.38e-70","9.98e-71"
"ENSG00000167751","KLK2","-2.88","1.91","-44.67","2.02e-225","6.35e-224"
"ENSG00000167757","KLK11","2.42","1.96","16.64","4.74e-54","1.08e-54"
"ENSG00000168079","SCARA5","-3.42","1.92","-45.49","3.53e-230","1.25e-228"
"ENSG00000168477","TNXB","-2.71","4.15","-38.13","2.06e-186","1.13e-185"
"ENSG00000168970","JMJD7-PLA2G4B","-2.16","2.80","-36.60","5.31e-177","2.08e-176"
"ENSG00000169035","KLK7","3.06","2.19","23.02","1.38e-91","6.02e-92"
"ENSG00000169203","NPIPB12","-2.63","4.67","-35.66","3.74e-171","1.21e-170"
"ENSG00000169246","NPIPB3","-2.26","5.14","-33.89","4.27e-160","9.23e-160"
"ENSG00000170323","FABP4","-4.36","4.76","-34.70","3.58e-165","9.42e-165"
"ENSG00000170439","TMT1B","3.77","3.92","44.32","2.11e-223","5.71e-222"
"ENSG00000170558","CDH2","2.49","2.55","25.07","2.61e-104","1.44e-104"
"ENSG00000171345","KRT19","2.30","6.42","19.01","1.91e-67","5.43e-68"
"ENSG00000172935","MRGPRF","-2.24","1.80","-40.77","2.05e-202","2.29e-201"
"ENSG00000173227","SYT12","3.29","2.21","26.21","1.67e-111","1.06e-111"
"ENSG00000173918","C1QTNF1","-2.21","5.22","-29.35","2.14e-131","2.09e-131"
"ENSG00000174348","PODN","-4.10","3.29","-48.54","1.73e-247","1.51e-245"
"ENSG00000174460","ZCCHC12","5.25","4.58","32.14","4.57e-149","7.09e-149"
"ENSG00000174567","GOLT1A","2.98","2.72","44.10","4.16e-222","9.82e-221"
