ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000197256","KANK2","-2.77","4.64","-12.27","6.33e-30","7.61e-29"
"ENSG00000197321","SVIL","-2.48","4.05","-10.16","6.4e-22","3.75e-21"
"ENSG00000197361","FBXL22","-2.30","1.16","-13.81","3e-36","6.23e-35"
"ENSG00000197380","DACT3","-2.90","1.60","-12.79","4.92e-32","6.93e-31"
"ENSG00000197565","COL4A6","-2.45","2.48","-8.45","4.47e-16","1.55e-15"
"ENSG00000197614","MFAP5","-2.49","2.30","-6.62","1.08e-10","2.17e-10"
"ENSG00000197766","CFD","-4.81","3.96","-16.14","2.76e-46","1.38e-44"
"ENSG00000198074","AKR1B10","-2.20","3.07","-4.12","4.51e-05","3.91e-05"
"ENSG00000198467","TPM2","-3.06","7.05","-9.14","2.31e-18","1.01e-17"
"ENSG00000198523","PLN","-3.34","1.69","-11.02","4.36e-25","3.52e-24"
"ENSG00000198624","CCDC69","-2.80","3.40","-13.46","8.62e-35","1.61e-33"
"ENSG00000198832","SELENOM","-2.14","6.08","-7.27","1.69e-12","4.14e-12"
"ENSG00000198848","CES1","-3.49","3.25","-7.58","2.03e-13","5.43e-13"
"ENSG00000198901","PRC1","2.23","5.20","11.40","1.54e-26","1.39e-25"
"ENSG00000198932","GPRASP1","-2.39","1.02","-18.05","8.62e-55","7.85e-53"
"ENSG00000198947","DMD","-2.56","1.46","-12.22","1.01e-29","1.19e-28"
"ENSG00000205221","VIT","-2.73","0.46","-19.20","5.13e-60","8.8e-58"
"ENSG00000205362","MT1A","-2.30","1.56","-7.47","4.47e-13","1.16e-12"
"ENSG00000205364","MT1M","-2.29","1.72","-7.78","5.41e-14","1.53e-13"
"ENSG00000205420","KRT6A","2.36","4.77","2.90","0.0039","0.00228"
"ENSG00000211445","GPX3","-3.25","5.21","-9.26","9.41e-19","4.3e-18"
"ENSG00000213088","ACKR1","-3.63","2.74","-10.32","1.79e-22","1.12e-21"
"ENSG00000214575","CPEB1","-2.13","0.55","-18.09","5.59e-55","5.42e-53"
"ENSG00000233608","TWIST2","-2.31","1.33","-11.02","4.24e-25","3.42e-24"
"ENSG00000237649","KIFC1","2.59","4.14","12.46","1.09e-30","1.4e-29"
"ENSG00000240583","AQP1","-2.70","4.97","-12.19","1.27e-29","1.47e-28"
"ENSG00000240771","ARHGEF25","-2.44","3.13","-10.58","1.97e-23","1.34e-22"
"ENSG00000243244","STON1","-2.43","1.76","-13.37","2.03e-34","3.55e-33"
"ENSG00000243449","NICOL1","2.04","4.19","8.79","3.43e-17","1.33e-16"
"ENSG00000250722","SELENOP","-2.07","5.13","-6.33","5.96e-10","1.09e-09"
"ENSG00000253250","C8orf88","-2.24","1.43","-9.62","5.58e-20","2.83e-19"
"ENSG00000258818","RNASE4","-2.65","3.04","-12.25","7.11e-30","8.53e-29"
"ENSG00000258947","TUBB3","2.69","4.88","7.27","1.72e-12","4.21e-12"
"ENSG00000259171","ENSG00000259171","-2.31","2.10","-10.71","6.57e-24","4.74e-23"
"ENSG00000262655","SPON1","-2.90","2.33","-10.25","3.19e-22","1.93e-21"
"ENSG00000263155","MYZAP","-2.74","3.14","-10.42","7.35e-23","4.75e-22"
"ENSG00000266964","FXYD1","-4.09","2.03","-16.38","2.32e-47","1.23e-45"
"ENSG00000267206","LCN6","-2.34","0.51","-17.22","4.62e-51","3.27e-49"
"ENSG00000272398","CD24","2.02","7.84","5.65","2.94e-08","4.27e-08"
"ENSG00000272573","MUSTN1","-3.24","1.60","-15.12","7.64e-42","2.66e-40"
"ENSG00000273259","ENSG00000273259","-3.05","2.42","-7.19","2.79e-12","6.69e-12"
"ENSG00000276043","UHRF1","2.65","3.63","13.42","1.26e-34","2.27e-33"
"ENSG00000276409","CCL14","-4.74","2.33","-13.38","1.84e-34","3.26e-33"
"ENSG00000277494","GPIHBP1","-2.06","0.74","-16.17","2.06e-46","1.05e-44"
