ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000117020","AKT3","-2.01","2.70","-22.84","6.53e-85","3.1e-85"
"ENSG00000117308","GALE","2.02","5.32","19.55","3.99e-67","1.23e-67"
"ENSG00000117394","SLC2A1","2.73","5.47","31.98","7.73e-135","1.58e-134"
"ENSG00000117399","CDC20","3.52","3.81","31.16","1.87e-130","3.3e-130"
"ENSG00000117569","PTBP2","-2.02","3.34","-26.03","1.9e-102","1.49e-102"
"ENSG00000117595","IRF6","2.29","3.58","19.25","1.71e-65","5.06e-66"
"ENSG00000117650","NEK2","3.15","2.51","43.72","1.95e-194","3.28e-193"
"ENSG00000117724","CENPF","2.94","3.23","30.44","1.54e-126","2.43e-126"
"ENSG00000118322","ATP10B","2.47","3.64","16.38","1.26e-50","2.59e-51"
"ENSG00000118407","FILIP1","-2.03","1.68","-23.07","3.39e-86","1.67e-86"
"ENSG00000118432","CNR1","-2.43","1.53","-33.62","1.53e-143","3.96e-143"
"ENSG00000118513","MYB","2.69","3.49","21.71","9.38e-79","3.85e-79"
"ENSG00000118526","TCF21","-2.24","2.42","-35.87","2.42e-155","9.31e-155"
"ENSG00000118729","CASQ2","-3.44","2.44","-27.23","4.57e-109","4.34e-109"
"ENSG00000119138","KLF9","-2.45","3.89","-28.50","5.02e-116","5.83e-116"
"ENSG00000119147","ECRG4","-3.70","2.56","-37.26","1.72e-162","8.31e-162"
"ENSG00000119411","BSPRY","2.12","3.26","22.46","7.68e-83","3.47e-83"
"ENSG00000119865","CNRIP1","-2.04","2.89","-28.56","2.4e-116","2.83e-116"
"ENSG00000119888","EPCAM","4.46","7.47","18.98","4.29e-64","1.22e-64"
"ENSG00000119919","NKX2-3","-2.99","2.98","-38.09","1.03e-166","5.65e-166"
"ENSG00000119938","PPP1R3C","-2.04","2.02","-22.64","7.62e-84","3.53e-84"
"ENSG00000119969","HELLS","2.04","2.21","38.54","5.38e-169","3.24e-168"
"ENSG00000120057","SFRP5","-3.24","2.00","-31.62","6.2e-133","1.19e-132"
"ENSG00000120068","HOXB8","2.60","2.77","24.13","5.68e-92","3.27e-92"
"ENSG00000120149","MSX2","2.32","1.63","32.45","2.25e-137","5e-137"
"ENSG00000120254","MTHFD1L","2.06","3.39","36.24","2.83e-157","1.12e-156"
"ENSG00000120708","TGFBI","2.56","7.26","27.37","8.41e-110","8.16e-110"
"ENSG00000120729","MYOT","-2.78","1.76","-34.18","1.57e-146","4.49e-146"
"ENSG00000120756","PLS1","2.68","4.48","15.78","1.2e-47","2.3e-48"
"ENSG00000120885","CLU","-3.31","7.57","-23.84","2.1e-90","1.15e-90"
"ENSG00000121152","NCAPH","2.83","2.52","39.77","3.69e-175","2.65e-174"
"ENSG00000121211","MND1","2.34","2.07","45.18","2.62e-201","5.64e-200"
"ENSG00000121380","BCL2L14","2.08","3.01","17.41","7.09e-56","1.65e-56"
"ENSG00000121413","ZSCAN18","-2.69","4.26","-27.61","3.87e-111","3.9e-111"
"ENSG00000121440","PDZRN3","-2.44","3.92","-23.46","2.52e-88","1.31e-88"
"ENSG00000121577","POPDC2","-3.70","3.39","-25.50","1.47e-99","1.06e-99"
"ENSG00000121898","CPXM2","-2.75","3.21","-20.90","2.43e-74","8.86e-75"
"ENSG00000122367","LDB3","-3.21","2.17","-30.74","3.46e-128","5.72e-128"
"ENSG00000122641","INHBA","2.36","1.64","30.87","6.79e-129","1.14e-128"
"ENSG00000122694","GLIPR2","-2.08","4.58","-27.86","1.59e-112","1.67e-112"
"ENSG00000122711","SPINK4","2.85","4.48","11.15","1.58e-26","1.89e-27"
"ENSG00000122756","CNTFR","-2.29","1.75","-33.82","1.32e-144","3.55e-144"
"ENSG00000122786","CALD1","-2.62","6.99","-18.47","2.17e-61","5.76e-62"
"ENSG00000122952","ZWINT","3.08","3.78","32.33","9.92e-137","2.16e-136"
"ENSG00000123219","CENPK","2.15","2.42","31.79","7.7e-134","1.53e-133"
"ENSG00000123243","ITIH5","-2.40","3.67","-22.90","2.9e-85","1.39e-85"
"ENSG00000123360","PDE1B","-2.18","2.00","-23.77","5.17e-90","2.8e-90"
"ENSG00000123485","HJURP","2.40","2.21","37.18","4.53e-162","2.14e-161"
"ENSG00000123500","COL10A1","3.16","1.50","27.65","2.39e-111","2.42e-111"
"ENSG00000123560","PLP1","-4.13","2.61","-40.41","2.35e-178","1.91e-177"
"ENSG00000123975","CKS2","3.42","5.28","36.35","7.55e-158","3.04e-157"
"ENSG00000124102","PI3","2.70","4.61","12.55","1.77e-32","2.41e-33"
"ENSG00000124212","PTGIS","-2.46","2.56","-21.08","2.42e-75","9.12e-76"
"ENSG00000124429","POF1B","3.20","3.81","23.87","1.46e-90","8.02e-91"
"ENSG00000124440","HIF3A","-4.15","2.93","-36.71","1.09e-159","4.75e-159"
"ENSG00000124491","F13A1","-2.44","3.09","-24.28","7.94e-93","4.71e-93"
"ENSG00000124749","COL21A1","-2.28","1.78","-23.90","9.72e-91","5.37e-91"
"ENSG00000124766","SOX4","2.37","3.61","45.12","4.61e-201","9.7e-200"
"ENSG00000124882","EREG","2.19","1.88","20.32","3.37e-71","1.14e-71"
"ENSG00000124942","AHNAK","-2.06","6.31","-23.74","7.03e-90","3.8e-90"
"ENSG00000125398","SOX9","3.97","4.01","37.57","4.36e-164","2.21e-163"
"ENSG00000125503","PPP1R12C","-2.01","6.41","-23.99","3.29e-91","1.84e-91"
"ENSG00000125798","FOXA2","2.81","2.65","29.10","2.84e-119","3.59e-119"
"ENSG00000126787","DLGAP5","2.54","2.04","39.29","9.53e-173","6.44e-172"
"ENSG00000126803","HSPA2","-2.53","4.24","-24.52","3.83e-94","2.34e-94"
"ENSG00000126947","ARMCX1","-2.35","2.82","-27.74","7.65e-112","7.9e-112"
"ENSG00000126950","TMEM35A","-2.96","2.28","-26.97","1.31e-107","1.2e-107"
"ENSG00000127241","MASP1","-3.28","2.59","-26.20","2.25e-103","1.81e-103"
"ENSG00000127324","TSPAN8","3.51","7.44","15.44","6.1e-46","1.12e-46"
"ENSG00000127472","PLA2G5","-2.43","2.17","-22.16","3.43e-81","1.5e-81"
"ENSG00000127564","PKMYT1","3.06","3.13","35.13","1.75e-151","6.16e-151"
"ENSG00000127831","VIL1","3.57","5.35","18.46","2.56e-61","6.78e-62"
"ENSG00000127951","FGL2","-2.08","3.38","-23.86","1.66e-90","9.1e-91"
"ENSG00000127990","SGCE","-2.32","3.55","-24.07","1.2e-91","6.82e-92"
"ENSG00000128050","PAICS","2.23","5.18","41.49","1.24e-183","1.23e-182"
"ENSG00000128422","KRT17","2.20","2.07","19.32","6.7e-66","2e-66"
"ENSG00000128482","RNF112","-2.50","1.76","-38.06","1.42e-166","7.66e-166"
"ENSG00000128573","FOXP2","-2.26","2.13","-25.67","1.74e-100","1.28e-100"
"ENSG00000128591","FLNC","-3.36","4.16","-21.02","5.57e-75","2.07e-75"
"ENSG00000128596","CCDC136","-2.51","2.49","-22.02","1.87e-80","8.04e-81"
"ENSG00000129116","PALLD","-2.15","6.33","-17.42","6.08e-56","1.42e-56"
"ENSG00000129194","SOX15","-2.03","1.68","-26.72","3.03e-106","2.67e-106"
"ENSG00000129195","PIMREG","2.35","2.15","33.97","2.15e-145","5.93e-145"
"ENSG00000129354","AP1M2","3.45","4.71","21.49","1.43e-77","5.7e-78"
"ENSG00000129451","KLK10","3.24","2.40","27.10","2.36e-108","2.2e-108"
"ENSG00000129467","ADCY4","-2.12","3.14","-26.94","1.96e-107","1.79e-107"
"ENSG00000130176","CNN1","-4.82","6.83","-24.57","2.06e-94","1.27e-94"
"ENSG00000130208","APOC1","2.21","4.59","18.17","8.18e-60","2.09e-60"
"ENSG00000130226","DPP6","-2.70","1.63","-26.00","2.63e-102","2.05e-102"
"ENSG00000130513","GDF15","3.81","5.00","35.42","4.99e-153","1.81e-152"
"ENSG00000130545","CRB3","2.55","4.08","18.65","2.64e-62","7.2e-63"
"ENSG00000130558","OLFM1","-2.27","2.80","-28.06","1.41e-113","1.53e-113"
"ENSG00000130653","PNPLA7","-2.23","2.48","-34.01","1.2e-145","3.34e-145"
"ENSG00000130702","LAMA5","-2.18","5.81","-16.55","1.67e-51","3.5e-52"
"ENSG00000130822","PNCK","-3.90","3.11","-24.63","9.36e-95","5.83e-95"
"ENSG00000131016","AKAP12","-2.53","3.50","-21.56","5.92e-78","2.37e-78"
"ENSG00000131018","SYNE1","-2.09","3.41","-23.90","1.01e-90","5.56e-91"
"ENSG00000131037","EPS8L1","2.03","3.91","20.81","7.03e-74","2.54e-74"
"ENSG00000131096","PYY","-2.66","2.05","-14.56","1.09e-41","1.81e-42"
"ENSG00000131153","GINS2","2.56","2.39","37.06","1.78e-161","8.32e-161"
"ENSG00000131187","F12","2.48","2.82","30.31","7.12e-126","1.11e-125"
"ENSG00000131386","GALNT15","-2.65","2.17","-28.05","1.58e-113","1.71e-113"
"ENSG00000131389","SLC6A6","2.01","3.34","29.56","8.82e-122","1.21e-121"
"ENSG00000131435","PDLIM4","-2.54","4.30","-20.49","3.79e-72","1.31e-72"
"ENSG00000131471","AOC3","-3.32","4.71","-25.71","1.15e-100","8.46e-101"
"ENSG00000131746","TNS4","4.16","2.82","44.77","2.11e-199","4.08e-198"
"ENSG00000131747","TOP2A","3.40","3.55","37.59","3.43e-164","1.76e-163"
"ENSG00000131771","PPP1R1B","2.61","6.58","18.14","1.12e-59","2.85e-60"
"ENSG00000131831","RAI2","-2.24","3.09","-25.35","1.03e-98","7.22e-99"
"ENSG00000131941","RHPN2","2.38","3.69","21.79","3.6e-79","1.5e-79"
"ENSG00000132329","RAMP1","-2.63","5.10","-14.43","4.72e-41","7.73e-42"
"ENSG00000132437","DDC","2.36","3.72","14.68","2.87e-42","4.85e-43"
"ENSG00000132535","DLG4","-2.01","3.04","-25.27","3.02e-98","2.09e-98"
"ENSG00000132563","REEP2","-2.36","2.21","-25.03","6.29e-97","4.2e-97"
"ENSG00000132646","PCNA","2.14","6.06","32.70","1.09e-138","2.51e-138"
"ENSG00000132698","RAB25","3.77","5.51","21.01","6.26e-75","2.32e-75"
"ENSG00000132840","BHMT2","-2.52","1.96","-26.49","5.51e-105","4.73e-105"
"ENSG00000133048","CHI3L1","2.02","2.73","15.66","4.82e-47","9.1e-48"
"ENSG00000133104","SPART","-2.45","3.42","-26.16","3.42e-103","2.74e-103"
"ENSG00000133106","EPSTI1","2.14","3.57","25.52","1.14e-99","8.25e-100"
"ENSG00000133119","RFC3","2.12","3.03","44.91","4.49e-200","8.86e-199"
"ENSG00000133135","RNF128","3.17","3.32","26.70","3.79e-106","3.34e-106"
"ENSG00000133169","BEX1","-2.12","1.49","-29.13","1.97e-119","2.51e-119"
"ENSG00000133216","EPHB2","3.08","4.05","30.46","1.18e-126","1.87e-126"
"ENSG00000133392","MYH11","-5.47","7.62","-27.45","3.02e-110","2.96e-110"
"ENSG00000133742","CA1","-3.86","3.66","-14.31","1.62e-40","2.62e-41"
"ENSG00000133800","LYVE1","-3.74","3.09","-40.45","1.44e-178","1.18e-177"
"ENSG00000134057","CCNB1","3.36","4.38","36.86","1.83e-160","8.35e-160"
"ENSG00000134121","CHL1","-2.22","1.89","-28.99","1.15e-118","1.43e-118"
"ENSG00000134138","MEIS2","-2.56","3.10","-21.92","7.22e-80","3.06e-80"
"ENSG00000134193","REG4","3.80","3.70","16.34","2.08e-50","4.26e-51"
"ENSG00000134201","GSTM5","-2.23","2.10","-30.21","2.51e-125","3.83e-125"
"ENSG00000134533","RERG","-2.54","2.63","-24.59","1.61e-94","9.99e-95"
"ENSG00000134690","CDCA8","2.76","2.99","32.44","2.7e-137","5.98e-137"
"ENSG00000134769","DTNA","-2.63","2.81","-24.87","4.42e-96","2.87e-96"
"ENSG00000134827","TCN1","2.23","1.19","18.82","3.1e-63","8.67e-64"
"ENSG00000134917","ADAMTS8","-2.15","1.76","-22.50","4.91e-83","2.24e-83"
